client_number;account_number
195;19510001
292;29210001
486;48610001
583;58310001
680;68010001
777;77710001
874;87410001
971;97110001
1068;106810001
1165;116510001
1262;126210001
1359;135910001
1553;155310001
1650;165010001
1747;174710001
1844;184410001
1941;194110001
2038;203810001
2135;213510001
2232;223210001
2329;232910001
2426;242610001
2523;252310001
2620;262010001
2717;271710001
2814;281410001
2911;291110001
3105;310510001
3202;320210001
3396;339610001
3493;349310001
3590;359010001
3687;368710001
3784;378410001
3881;388110001
3978;397810001
4075;407510001
4172;417210001
4269;426910001
4366;436610001
4463;446310001
4560;456010001
4657;465710001
4754;475410001
4851;485110001
4948;494810001
5045;504510001
5239;523910001
5336;533610001
5433;543310001
5530;553010001
5627;562710001
5724;572410001
5821;582110001
5918;591810001
6015;601510001
6112;611210001
6209;620910001
6306;630610001
6403;640310001
6597;659710001
6694;669410001
6791;679110001
6888;688810001
6985;698510001
7082;708210001
7276;727610001
7373;737310001
7470;747010001
7567;756710001
7761;776110001
7858;785810001
7955;795510001
8052;805210001
8149;814910001
8343;834310001
8440;844010001
8537;853710001
8634;863410001
8731;873110001
8925;892510001
8828;882810001
9022;902210001
9216;921610001
9313;931310001
9410;941010001
9507;950710001
9798;979810001
9895;989510001
9992;999210001
10089;1008910001
10186;1018610001
10283;1028310001
10380;1038010001
10574;1057410001
10768;1076810001
10962;1096210001
11059;1105910001
11253;1125310001
11350;1135010001
11544;1154410001
11641;1164110001
11738;1173810001
11835;1183510001
11932;1193210001
12029;1202910001
12223;1222310001
12320;1232010001
12417;1241710001
12514;1251410001
12611;1261110001
12708;1270810001
12805;1280510001
13096;1309610001
13290;1329010001
13581;1358110001
13969;1396910001
14066;1406610001
14260;1426010001
14357;1435710001
14551;1455110001
14648;1464810001
14745;1474510001
14939;1493910001
15133;1513310001
15424;1542410001
15618;1561810001
15715;1571510001
15909;1590910001
16006;1600610001
16103;1610310001
16685;1668510001
16879;1687910001
16976;1697610001
17073;1707310001
17170;1717010001
17267;1726710001
17558;1755810001
17655;1765510001
17752;1775210001
17946;1794610001
18043;1804310001
18140;1814010001
18237;1823710001
18528;1852810001
18722;1872210001
18916;1891610001
19013;1901310001
19110;1911010001
19304;1930410001
19595;1959510001
19692;1969210001
19789;1978910001
19983;1998310001
20274;2027410001
20371;2037110001
20662;2066210001
20856;2085610001
20953;2095310001
21050;2105010001
21147;2114710001
21244;2124410001
21535;2153510001
21729;2172910001
21826;2182610001
22020;2202010001
22117;2211710001
22214;2221410001
22311;2231110001
22408;2240810001
22602;2260210001
22796;2279610001
22990;2299010001
23281;2328110001
23378;2337810001
23475;2347510001
23572;2357210001
23669;2366910001
23766;2376610001
23863;2386310001
23960;2396010001
24057;2405710001
24542;2454210001
24639;2463910001
24736;2473610001
24833;2483310001
24930;2493010001
25027;2502710001
25124;2512410001
25221;2522110001
25318;2531810001
25415;2541510001
25512;2551210001
25609;2560910001
25706;2570610001
25803;2580310001
25997;2599710001
26191;2619110001
26579;2657910001
26676;2667610001
26773;2677310001
26967;2696710001
27064;2706410001
27161;2716110001
27355;2735510001
27452;2745210001
27646;2764610001
27743;2774310001
27840;2784010001
27937;2793710001
